,ID,Price,Manufacturer,Model,Prod_year,Category,Mileage,Color
0,45654403,13328,LEXUS,RX 450,2010,Jeep,186005,Silver
1,44731507,16621,CHEVROLET,Equinox,2011,Jeep,192000,Black
2,45774419,8467,HONDA,FIT,2006,Hatchback,200000,Black
3,45769185,3607,FORD,Escape,2011,Jeep,168966,White
4,45809263,11726,HONDA,FIT,2014,Hatchback,91901,Silver
5,45802912,39493,HYUNDAI,Santa FE,2016,Jeep,160931,White
6,45656768,1803,TOYOTA,Prius,2010,Hatchback,258909,White
7,45816158,549,HYUNDAI,Sonata,2013,Sedan,216118,Grey
8,45641395,1098,TOYOTA,Camry,2014,Sedan,398069,Black
9,45756839,26657,LEXUS,RX 350,2007,Jeep,128500,Silver
10,45621750,941,MERCEDES-BENZ,E 350,2014,Sedan,184467,White
11,45814819,8781,FORD,Transit,1999,Microbus,0,Blue
12,45815568,3000,OPEL,Vectra,1997,Goods wagon,350000,White
13,45661288,1019,LEXUS,RX 450,2013,Jeep,138038,White
14,45732604,59464,HYUNDAI,Santa FE,2016,Jeep,76000,White
15,45465200,549,TOYOTA,CHR,2018,Jeep,74146,White
16,45772281,7683,HYUNDAI,Elantra,2016,Sedan,121840,Blue
17,45797221,28382,HYUNDAI,Elantra,2016,Sedan,54317,White
18,45772104,549,HYUNDAI,Sonata,2006,Sedan,295059,Blue
19,45653306,941,LEXUS,RX 400,2008,Jeep,364523,Black
20,45801686,18826,HYUNDAI,Elantra,2012,Sedan,112645,Silver
21,45168471,20698,TOYOTA,Prius,2012,Sedan,187000,White
22,45751951,17562,TOYOTA,Camry,2017,Sedan,39709,Black
23,45814106,7840,FORD,Transit,2001,Microbus,230000,White
24,45813492,4704,OPEL,Vectra,1995,Sedan,0,Green
25,45782859,20385,MERCEDES-BENZ,E 220,2006,Sedan,210000,Black
26,45759112,549,LEXUS,GX 470,2008,Jeep,0,White
28,45801525,14454,HYUNDAI,Elantra,2011,Sedan,158787,Silver
29,45768550,12074,TOYOTA,Highlander,2009,Jeep,420550,Blue
30,44944581,15681,MERCEDES-BENZ,Vito,2007,Goods wagon,180000,White
31,45760983,19444,PORSCHE,Cayenne,2014,Jeep,175056,White
32,45790136,6899,BMW,X5,2000,Jeep,200000,Silver
34,45542380,24462,JEEP,Grand Cherokee,2007,Jeep,250000,Black
35,45732374,23235,HYUNDAI,Santa FE,2011,Jeep,162000,Grey
36,45369569,51746,TOYOTA,CHR Limited,2019,Jeep,10200,Red
37,45642526,7527,HONDA,FIT,2010,Hatchback,158000,Black
38,45801668,19121,HYUNDAI,Elantra,2012,Sedan,103490,Silver
39,45661296,314,LEXUS,RX 450,2010,Jeep,382746,Silver
40,45815051,24462,TOYOTA,Camry,2013,Sedan,203200,Blue
41,45797488,45734,HYUNDAI,H1,2016,Universal,61057,Black
42,45667253,20165,VOLKSWAGEN,Jetta,2016,Sedan,11200,Black
43,45108412,21326,HYUNDAI,Sonata,2014,Sedan,141000,White
44,45810322,549,PORSCHE,Cayenne,2010,Jeep,160259,Silver
45,45769564,220,TOYOTA,Tacoma,2013,Jeep,239342,Silver
