,ID,Fuel type,Engine volume,Cylinders,Gear box type,Leather interior,Airbags,Drive wheels,Wheel
0,45654403,Hybrid,3.5,6.0,Automatic,Yes,12,4x4,Left wheel
1,44731507,Petrol,3,6.0,Tiptronic,No,8,4x4,Left wheel
2,45774419,Petrol,1.3,4.0,Variator,No,2,Front,Right-hand drive
3,45769185,Hybrid,2.5,4.0,Automatic,Yes,0,4x4,Left wheel
4,45809263,Petrol,1.3,4.0,Automatic,Yes,4,Front,Left wheel
5,45802912,Diesel,2,4.0,Automatic,Yes,4,Front,Left wheel
6,45656768,Hybrid,1.8,4.0,Automatic,Yes,12,Front,Left wheel
7,45816158,Petrol,2.4,4.0,Automatic,Yes,12,Front,Left wheel
8,45641395,Hybrid,2.5,4.0,Automatic,Yes,12,Front,Left wheel
9,45756839,Petrol,3.5,6.0,Automatic,Yes,12,4x4,Left wheel
10,45621750,Diesel,3.5,6.0,Automatic,Yes,12,Rear,Left wheel
11,45814819,CNG,4,8.0,Manual,No,0,Rear,Left wheel
12,45815568,CNG,1.6,4.0,Manual,No,4,Front,Left wheel
13,45661288,Hybrid,3.5,6.0,Automatic,Yes,12,Front,Left wheel
14,45732604,Diesel,2,4.0,Automatic,Yes,4,Front,Left wheel
15,45465200,Petrol,2,4.0,Automatic,Yes,12,Front,Left wheel
16,45772281,Petrol,1.8,4.0,Automatic,Yes,12,Front,Left wheel
17,45797221,Petrol,1.8,4.0,Automatic,Yes,4,Front,Left wheel
18,45772104,Petrol,3.3,6.0,Automatic,Yes,12,Rear,Left wheel
19,45653306,Hybrid,3.5,6.0,Automatic,Yes,12,4x4,Left wheel
20,45801686,Petrol,1.6,4.0,Automatic,Yes,4,Front,Left wheel
21,45168471,Plug-in Hybrid,1.8,4.0,Automatic,Yes,12,Front,Left wheel
22,45751951,Petrol,2.5,4.0,Automatic,Yes,12,Front,Left wheel
23,45814106,Diesel,2.0 Turbo,4.0,Manual,No,0,Front,Left wheel
24,45813492,Petrol,1.8,4.0,Automatic,No,4,Front,Left wheel
25,45782859,Diesel,2.2 Turbo,4.0,Tiptronic,Yes,8,Rear,Left wheel
26,45759112,Petrol,4.7,8.0,Automatic,Yes,0,4x4,Left wheel
27,45804684,Hybrid,1.5,4.0,Automatic,No,8,Front,Left wheel
28,45801525,Petrol,1.6,4.0,Automatic,Yes,4,Front,Left wheel
29,45768550,Hybrid,3.3,6.0,Automatic,Yes,12,4x4,Left wheel
30,44944581,Diesel,2.0 Turbo,6.0,Manual,No,4,Rear,Left wheel
31,45760983,Diesel,3,6.0,Automatic,Yes,12,4x4,Left wheel
32,45790136,CNG,4.4,8.0,Automatic,Yes,6,4x4,Left wheel
33,45770026,Hybrid,3.3,6.0,Automatic,Yes,12,4x4,Left wheel
34,45542380,Diesel,3.0 Turbo,6.0,Tiptronic,Yes,10,4x4,Left wheel
35,45732374,Diesel,2,4.0,Automatic,Yes,4,Front,Left wheel
36,45369569,Petrol,2,4.0,Tiptronic,No,12,Front,Left wheel
37,45642526,Hybrid,1.3,4.0,Automatic,No,4,Front,Right-hand drive
38,45801668,Petrol,1.6,4.0,Automatic,Yes,4,Front,Left wheel
39,45661296,Hybrid,3.5,6.0,Automatic,Yes,12,4x4,Left wheel
40,45815051,Petrol,2.4,4.0,Automatic,Yes,4,Front,Left wheel
41,45797488,Diesel,2.5,4.0,Automatic,Yes,4,Front,Left wheel
42,45667253,Petrol,1.4 Turbo,4.0,Tiptronic,Yes,8,Front,Left wheel
43,45108412,Hybrid,2.4,4.0,Tiptronic,Yes,12,Front,Left wheel
44,45810322,Petrol,3.6,6.0,Automatic,Yes,12,4x4,Left wheel
45,45769564,Petrol,4,6.0,Automatic,Yes,12,4x4,Left wheel
46,45726453,Hybrid,1.5,4.0,Variator,No,8,Front,Left wheel
47,45732544,Diesel,2,4.0,Automatic,Yes,4,Front,Left wheel
48,45811563,Hybrid,1.5,4.0,Automatic,No,8,Front,Right-hand drive
49,45699930,Hybrid,2.3,4.0,Variator,No,8,4x4,Left wheel
50,45809839,Petrol,2,4.0,Automatic,Yes,4,Front,Left wheel
51,45767508,Petrol,3,6.0,Automatic,Yes,0,4x4,Left wheel
52,45802148,Diesel,1.5 Turbo,4.0,Manual,No,10,Front,Left wheel
53,45769316,Petrol,2,4.0,Automatic,Yes,12,Rear,Left wheel
54,44153312,Petrol,2,1.0,Tiptronic,Yes,12,4x4,Left wheel
55,45782169,Petrol,2,4.0,Manual,No,0,Rear,Left wheel
56,44316016,Petrol,2.0 Turbo,4.0,Tiptronic,Yes,0,4x4,Left wheel
57,45641216,Petrol,1.6,4.0,Automatic,Yes,0,4x4,Left wheel
58,45813399,Petrol,3,6.0,Automatic,Yes,12,Rear,Left wheel
59,44679525,Petrol,1.4 Turbo,4.0,Automatic,No,6,Front,Left wheel
60,45418626,Petrol,1.6 Turbo,4.0,Tiptronic,No,8,Front,Left wheel
61,45323316,Petrol,2.4,4.0,Automatic,Yes,6,Front,Right-hand drive
62,45638910,Petrol,1.6,4.0,Automatic,Yes,0,Front,Left wheel
63,45778144,Petrol,1.6,4.0,Tiptronic,No,6,Front,Left wheel
64,45803923,Diesel,2,4.0,Automatic,Yes,4,Front,Left wheel
65,45803550,LPG,2,4.0,Automatic,Yes,4,Front,Left wheel
66,45802190,Diesel,2.5,4.0,Automatic,Yes,4,Front,Left wheel
67,45802203,Diesel,2.5,4.0,Automatic,Yes,4,Front,Left wheel
68,45648175,Hybrid,2.5,4.0,Automatic,Yes,12,Front,Left wheel
69,45786421,Petrol,1.5,4.0,Manual,No,3,Front,Right-hand drive
70,45802120,Diesel,2.5,4.0,Automatic,Yes,4,Front,Left wheel
71,45809414,Diesel,2.2,4.0,Automatic,Yes,4,Front,Left wheel
72,45797480,Diesel,2.5,4.0,Automatic,Yes,4,Front,Left wheel
73,45732043,Diesel,2,4.0,Automatic,Yes,4,Front,Left wheel
74,45816646,Hybrid,1.8,4.0,Automatic,No,8,Front,Left wheel
75,45624039,Petrol,2.3 Turbo,4.0,Tiptronic,Yes,6,Rear,Left wheel
76,45814804,Petrol,3.5,6.0,Automatic,Yes,12,Rear,Left wheel
77,45787521,Petrol,1.8,4.0,Automatic,No,8,Front,Left wheel
78,45759890,Petrol,4.7,8.0,Automatic,Yes,0,4x4,Left wheel
79,45758167,Hybrid,2.5,4.0,Automatic,Yes,0,Front,Left wheel
80,45648538,Hybrid,3.3,6.0,Automatic,Yes,12,4x4,Left wheel
81,45757322,Petrol,1.5,4.0,Automatic,Yes,12,Front,Left wheel
82,45800993,Hybrid,1.4,8.0,Automatic,No,10,4x4,Right-hand drive
83,45765301,Petrol,2,4.0,Automatic,No,2,4x4,Right-hand drive
84,45771208,Petrol,2.5,4.0,Automatic,No,0,Front,Left wheel
85,45801684,Petrol,1.6,4.0,Automatic,Yes,4,Front,Left wheel
86,45732386,Diesel,2,4.0,Automatic,Yes,4,Front,Left wheel
87,43892866,Hybrid,1.3,4.0,Tiptronic,Yes,12,Front,Right-hand drive
88,45810403,Petrol,1.8,4.0,Automatic,Yes,4,Front,Left wheel
89,45810513,Diesel,2,4.0,Automatic,Yes,4,Front,Left wheel
90,45807330,Petrol,5.5,8.0,Automatic,Yes,10,4x4,Left wheel
91,45733554,Petrol,2,6.0,Manual,Yes,2,Rear,Left wheel
